# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.072600 0.117400 0.156600 0.309800 0.372900 0.253850 0.217800 0.273750 0.302750 2.726446 2.126310 6.109241 0.336352 0.710925 -0.522584 348.944641 0.079850 0.119300 0.172900 0.269400 0.416550 0.313150 0.209200 0.234700 0.254500 3.152831 2.627991 7.000185 0.223798 0.410494 -0.552552 170.892365 1.863390
1.000000 0.082600 0.148850 0.231650 0.367650 0.454250 0.384750 0.287150 0.345100 0.365450 4.219824 3.353776 8.194199 0.228567 0.466650 -0.508459 347.394012 0.095800 0.164050 0.270650 0.364150 0.492050 0.431050 0.312900 0.336500 0.353150 3.783577 2.929819 7.536143 0.148171 0.255063 -0.502957 169.444931 1.863390
0.000000 0.080150 0.137100 0.211800 0.298750 0.343550 0.265700 0.254600 0.289050 0.302950 3.271541 2.676905 7.435469 0.174740 0.295321 -0.431051 451.433411 0.085300 0.140050 0.226250 0.292350 0.363850 0.290350 0.260150 0.279300 0.291150 3.305662 2.766560 7.982129 0.127554 0.180048 -0.443716 254.334976 0.658808
1.000000 0.034600 0.067300 0.079550 0.303750 0.267850 0.180500 0.138550 0.269950 0.304400 2.933334 2.537756 6.809504 0.589529 1.211914 -0.599301 379.227966 0.047700 0.080400 0.145850 0.223950 0.312950 0.257150 0.172950 0.199500 0.214650 3.110967 2.770231 6.430053 0.218707 0.303783 -0.596143 229.834183 3.004626
1.000000 0.054200 0.098900 0.188800 0.271300 0.439100 0.374100 0.230100 0.260300 0.274200 3.939629 3.287612 7.823981 0.183974 0.264023 -0.628634 407.058929 0.054400 0.092700 0.180500 0.266300 0.445900 0.383000 0.219400 0.248400 0.262100 3.646024 3.089162 7.584556 0.185814 0.278180 -0.653546 204.741882 1.863390
0.000000 0.080400 0.132450 0.197600 0.308700 0.359750 0.264900 0.250000 0.300000 0.319150 3.097664 2.526386 7.225542 0.215533 0.407164 -0.465394 379.421661 0.083750 0.135150 0.211800 0.288650 0.378900 0.293750 0.250300 0.276350 0.291150 3.351998 2.784673 8.081962 0.148724 0.238015 -0.474223 229.728882 3.773077
1.000000 0.057600 0.101100 0.154500 0.292300 0.303700 0.223600 0.205900 0.268300 0.291300 2.779829 2.276301 6.141839 0.309912 0.575902 -0.497628 376.680542 0.073800 0.118300 0.194000 0.273700 0.345400 0.285700 0.232100 0.249000 0.264400 3.000428 2.535675 7.544118 0.148602 0.219066 -0.494081 226.964859 4.166667
0.000000 0.092500 0.150700 0.203250 0.305700 0.346450 0.279150 0.239550 0.288600 0.307200 3.479285 2.824446 7.167556 0.202556 0.391092 -0.394904 439.354736 0.094750 0.152100 0.213850 0.296900 0.370500 0.305650 0.242950 0.271700 0.287050 3.486932 2.886374 7.822310 0.165956 0.290937 -0.410947 251.323395 5.034603
0.000000 0.056200 0.092250 0.115100 0.221100 0.191700 0.140150 0.133850 0.200250 0.227150 3.017612 2.807303 6.549614 0.314631 0.520911 -0.363745 440.409790 0.082050 0.126700 0.167600 0.270600 0.280650 0.229050 0.180850 0.228750 0.250800 3.071628 2.691904 6.794827 0.234918 0.442945 -0.387704 251.810394 1.178511
1.000000 0.048500 0.087100 0.138600 0.208300 0.256200 0.220100 0.167000 0.195600 0.211300 2.994571 2.716959 5.857897 0.200922 0.258796 -0.486741 440.049500 0.062100 0.102500 0.166200 0.218700 0.281300 0.251600 0.190800 0.204900 0.216700 2.934640 2.741502 7.636020 0.135828 0.152512 -0.465868 251.722214 0.589256
