# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.061300 0.091500 0.075400 0.290600 0.203600 0.109000 0.141700 0.250300 0.283300 3.525171 3.280441 7.257785 0.584687 1.386813 -0.382069 398.582214 0.037500 0.068900 0.040400 0.303800 0.146800 0.068000 0.111600 0.254500 0.290100 4.035317 3.725312 8.785573 0.765048 1.762394 -0.366698 785.575012 2.429563
1.000000 0.091600 0.117550 0.147700 0.239550 0.336800 0.249850 0.178550 0.211350 0.232600 3.285947 2.865197 7.009508 0.238222 0.464499 -0.484699 399.949463 0.054900 0.074850 0.090300 0.214850 0.271700 0.182400 0.123000 0.177750 0.201450 2.640361 2.353018 5.929116 0.394660 0.681432 -0.567469 786.128540 2.124591
1.000000 0.083500 0.110550 0.140600 0.247200 0.342250 0.261300 0.174800 0.211250 0.235050 3.175450 2.665427 6.593948 0.269192 0.524998 -0.512498 401.414886 0.058050 0.078650 0.093600 0.206050 0.294350 0.223350 0.125000 0.170400 0.191400 4.342634 4.072248 8.141304 0.374816 0.646621 -0.573196 786.572571 8.374896
1.000000 0.099300 0.129350 0.172650 0.269300 0.379150 0.306500 0.208500 0.233600 0.257750 3.616126 2.910115 6.575944 0.218818 0.449088 -0.490288 395.623108 0.061900 0.086250 0.108100 0.245600 0.315200 0.225100 0.150200 0.199800 0.228200 2.526047 2.256215 6.751232 0.383518 0.732409 -0.573195 745.397644 3.088933
1.000000 0.086600 0.113900 0.152400 0.253000 0.370200 0.269800 0.187400 0.221100 0.245300 3.730070 3.155473 7.846929 0.250700 0.490698 -0.530803 388.913391 0.061800 0.086200 0.101500 0.235800 0.286500 0.198400 0.143800 0.197800 0.222500 3.575015 3.219592 6.711444 0.401304 0.775672 -0.542952 749.449524 5.335937
1.000000 0.076850 0.100150 0.116700 0.261800 0.307700 0.205650 0.163500 0.218800 0.249350 3.109267 2.717870 6.563890 0.381567 0.815680 -0.508430 387.893036 0.060800 0.081300 0.095100 0.214150 0.268000 0.193550 0.129650 0.173900 0.197000 3.483383 3.250956 7.242474 0.389883 0.700762 -0.536461 757.568604 1.863390
1.000000 0.093000 0.120600 0.150400 0.250800 0.351700 0.275100 0.183800 0.218500 0.242000 3.535453 3.019060 7.453740 0.247943 0.499736 -0.482487 388.630402 0.049300 0.069400 0.071500 0.222600 0.249900 0.165300 0.117200 0.182000 0.206200 3.576096 3.421097 6.392547 0.521402 0.958457 -0.555252 757.407410 2.946278
1.000000 0.094400 0.118200 0.148800 0.233900 0.363800 0.306300 0.177900 0.203600 0.224500 3.257516 2.766727 7.092565 0.225474 0.427335 -0.508450 388.877441 0.055900 0.076500 0.084900 0.217300 0.272900 0.192700 0.125100 0.180800 0.203000 3.331738 3.058648 6.026724 0.431880 0.772992 -0.560490 755.382385 1.666667
1.000000 0.100450 0.126550 0.157250 0.241350 0.353900 0.281050 0.187750 0.215450 0.236150 3.234465 2.833877 6.805593 0.211541 0.414261 -0.471627 388.590210 0.054950 0.075800 0.084700 0.202850 0.264750 0.183950 0.122000 0.168300 0.188550 3.222979 2.996464 5.544501 0.406693 0.687603 -0.556792 756.514954 3.925785
1.000000 0.081800 0.107100 0.136700 0.240600 0.353800 0.260300 0.173100 0.206800 0.231200 3.729003 3.165125 7.754219 0.271686 0.525956 -0.534145 388.888519 0.062300 0.088800 0.097600 0.247100 0.298700 0.216500 0.144700 0.208600 0.232800 3.610648 3.306432 6.745509 0.430296 0.868081 -0.541298 749.638123 2.429563
1.000000 0.101700 0.133900 0.178200 0.264400 0.398400 0.322200 0.212700 0.236400 0.258400 3.752097 3.215197 8.125198 0.201936 0.391457 -0.496133 389.906494 0.069400 0.096600 0.122400 0.238700 0.330700 0.241600 0.162000 0.199600 0.222300 3.905937 3.459569 7.641169 0.316589 0.603672 -0.549515 757.497986 2.635231
1.000000 0.065000 0.097400 0.081400 0.310200 0.226100 0.124500 0.148900 0.262800 0.297700 3.369645 2.960338 6.732559 0.583910 1.462236 -0.397227 397.894135 0.041400 0.071900 0.046500 0.318200 0.175700 0.087800 0.115600 0.263100 0.300600 3.913754 3.607705 8.160895 0.746670 1.791723 -0.416767 753.105225 0.833333
1.000000 0.076600 0.099850 0.127900 0.225100 0.320100 0.227450 0.160100 0.192000 0.213100 3.186932 2.870480 7.051772 0.275873 0.493856 -0.527368 397.845612 0.057100 0.081950 0.094000 0.241300 0.271600 0.175950 0.139450 0.202050 0.228550 3.270260 2.803690 5.727195 0.430445 0.808522 -0.527894 753.411621 3.435921
1.000000 0.094050 0.124800 0.170250 0.280650 0.384950 0.289950 0.209050 0.240100 0.267950 3.816751 3.255123 8.267766 0.245640 0.510242 -0.510745 396.013306 0.056850 0.077450 0.091000 0.214950 0.288900 0.203450 0.127750 0.176750 0.200350 3.822846 3.552567 6.890384 0.407469 0.719775 -0.575856 757.520996 3.952847
1.000000 0.076000 0.097200 0.113450 0.219150 0.283700 0.205550 0.146400 0.187750 0.210350 3.220465 2.924531 6.807524 0.317964 0.607069 -0.490302 398.341675 0.055650 0.081850 0.087200 0.230550 0.252700 0.191950 0.126800 0.198850 0.223150 3.652059 3.425437 6.611345 0.455190 0.849191 -0.518224 748.442810 3.173239
1.000000 0.088800 0.115100 0.148800 0.228500 0.356200 0.285900 0.180500 0.204500 0.226000 3.210607 2.836448 7.334196 0.220314 0.398575 -0.512658 392.936218 0.062400 0.085000 0.102000 0.220400 0.287200 0.218200 0.140000 0.186400 0.207100 3.510043 3.254793 6.313464 0.361702 0.672350 -0.541370 740.485535 4.750731
1.000000 0.089050 0.112350 0.138100 0.240350 0.366300 0.298000 0.174800 0.208800 0.233350 3.146685 2.796525 7.110483 0.275056 0.557138 -0.527758 391.522217 0.058550 0.077450 0.085300 0.227200 0.273200 0.187850 0.131800 0.188250 0.211750 3.322481 3.133295 6.546659 0.460628 0.879317 -0.558990 735.786255 1.946179
1.000000 0.091600 0.119400 0.156200 0.244300 0.392000 0.315100 0.190700 0.213600 0.234400 3.248730 2.842850 7.095831 0.211538 0.400150 -0.529789 401.342804 0.058600 0.084600 0.091700 0.242300 0.277800 0.188100 0.140500 0.206500 0.232500 2.884735 2.685088 5.210897 0.449955 0.883844 -0.526056 761.564148 0.833333
