"T","X","Y","datasets","days"
"2019--P1Y", +0153, +0098,    2,    2
"2019--P1Y", +0153, +0099,    2,    2
"2019--P1Y", +0153, +0100,    2,    2
"2019--P1Y", +0154, +0095,    2,    2
"2019--P1Y", +0154, +0096,    2,    2
"2019--P1Y", +0154, +0097,    2,    2
"2019--P1Y", +0154, +0098,    2,    2
"2019--P1Y", +0154, +0099,    2,    2
"2019--P1Y", +0154, +0100,    2,    2
"2019--P1Y", +0155, +0095,    2,    2
"2019--P1Y", +0155, +0096,    2,    2
"2019--P1Y", +0155, +0097,    2,    2
"2019--P1Y", +0155, +0098,    2,    2
"2019--P1Y", +0155, +0099,    2,    2
"2019--P1Y", +0155, +0100,    2,    2
"2019--P1Y", +0156, +0095,    2,    2
"2019--P1Y", +0156, +0096,    2,    2
"2019--P1Y", +0156, +0097,    2,    2
"2019--P1Y", +0156, +0098,    2,    2
"2019--P1Y", +0156, +0099,    2,    2
"2019--P1Y", +0156, +0100,    2,    2
"2019--P1Y", +0157, +0095,    2,    2
"2019--P1Y", +0157, +0096,    2,    2
"2019--P1Y", +0157, +0097,    2,    2
"2019--P1Y", +0157, +0098,    2,    2
"2019--P1Y", +0157, +0099,    2,    2
"2019--P1Y", +0158, +0095,    2,    2
"2019--P1Y", +0158, +0096,    2,    2
"2019--P1Y", +0158, +0097,    2,    2
"2019--P1Y", +0158, +0098,    2,    2
"2019--P1Y", +0158, +0099,    2,    2
"2019--P1Y", +0159, +0095,    2,    2
"2019--P1Y", +0159, +0096,    2,    2
"2019--P1Y", +0159, +0097,    2,    2
"2019--P1Y", +0159, +0098,    2,    2
"2019--P1Y", +0159, +0099,    2,    2
"2019--P1Y", +0160, +0095,    2,    2
"2019--P1Y", +0160, +0096,    2,    2
"2019--P1Y", +0160, +0097,    2,    2
"2019--P1Y", +0160, +0098,    2,    2
"2019--P1Y", +0160, +0099,    1,    1
"2019--P1Y", +0160, +0100,    1,    1
"2019--P1Y", +0160, +0101,    1,    1
"2019--P1Y", +0160, +0102,    1,    1
"2019--P1Y", +0161, +0091,    2,    2
"2019--P1Y", +0161, +0092,    2,    2
"2019--P1Y", +0161, +0093,    2,    2
"2019--P1Y", +0161, +0096,    2,    2
"2019--P1Y", +0161, +0097,    2,    2
"2019--P1Y", +0161, +0098,    1,    1
"2019--P1Y", +0161, +0099,    1,    1
"2019--P1Y", +0161, +0100,    1,    1
"2019--P1Y", +0161, +0101,    1,    1
"2019--P1Y", +0161, +0102,    2,    2
"2019--P1Y", +0161, +0103,    2,    2
"2019--P1Y", +0161, +0104,    2,    2
"2019--P1Y", +0161, +0105,    2,    2
"2019--P1Y", +0161, +0106,    2,    2
"2019--P1Y", +0161, +0107,    2,    2
"2019--P1Y", +0162, +0091,    2,    2
"2019--P1Y", +0162, +0092,    2,    2
"2019--P1Y", +0162, +0093,    2,    2
"2019--P1Y", +0162, +0094,    2,    2
"2019--P1Y", +0162, +0095,    2,    2
"2019--P1Y", +0162, +0096,    2,    2
"2019--P1Y", +0162, +0097,    2,    2
"2019--P1Y", +0162, +0098,    2,    2
"2019--P1Y", +0162, +0099,    2,    2
"2019--P1Y", +0162, +0100,    1,    1
"2019--P1Y", +0162, +0101,    1,    1
"2019--P1Y", +0162, +0102,    2,    2
"2019--P1Y", +0162, +0103,    2,    2
"2019--P1Y", +0162, +0104,    2,    2
"2019--P1Y", +0162, +0105,    2,    2
"2019--P1Y", +0162, +0106,    2,    2
"2019--P1Y", +0162, +0107,    2,    2
"2019--P1Y", +0162, +0108,    2,    2
"2019--P1Y", +0162, +0109,    2,    2
"2019--P1Y", +0162, +0110,    2,    2
